Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
144,1,1,3,5,7,3,3,3,1,1,3,1,1,2,1,3,8
145,1,1,1,1,5,1,1,3,2,2,2,2,1,2,2,4,8
146,1,1,1,1,7,1,1,4,1,1,3,1,1,2,1,5,2
147,1,1,1,1,6,1,1,4,1,1,3,1,1,2,2,4,1
148,1,1,1,1,4,1,1,5,1,1,1,1,2,2,1,4,2
149,1,1,3,4,5,2,1,3,3,1,3,1,1,2,1,4,2
150,1,1,3,4,2,1,1,6,2,1,3,1,1,2,1,4,2
151,1,1,3,5,5,1,1,3,2,1,1,1,1,2,2,5,2
152,1,1,3,4,3,1,1,3,2,3,2,2,1,2,2,4,
153,1,1,3,4,7,1,1,3,1,1,1,1,1,2,2,5,2
154,1,1,3,4,3,1,1,3,1,1,1,1,1,2,2,5,2
155,1,1,3,4,4,1,1,3,3,1,3,1,2,2,2,5,1
156,1,1,3,4,4,1,1,5,1,3,1,1,1,1,1,5,2
157,1,1,3,4,3,1,1,3,1,1,1,1,1,2,2,5,8
158,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
159,1,1,3,4,7,1,1,4,3,1,2,1,1,2,2,5,2
160,1,1,3,4,2,1,1,4,1,1,2,1,2,2,2,5,2
161,1,1,3,4,4,1,1,5,1,1,1,1,1,2,2,5,2
162,1,1,3,4,5,1,1,3,3,1,1,1,2,2,2,4,2
163,1,1,3,4,5,1,1,4,1,1,1,1,1,2,1,5,2
164,1,1,1,1,6,1,1,4,2,1,1,1,1,2,2,5,2
165,1,1,3,4,3,1,1,5,2,3,3,2,1,2,2,4,8
166,1,1,3,4,4,1,1,5,1,1,1,1,1,2,2,4,2
167,1,1,3,4,7,2,3,4,1,2,1,1,1,2,1,5,2
168,1,1,3,4,6,1,1,3,2,1,1,1,1,2,2,5,1
169,1,1,3,4,6,1,1,4,3,1,2,1,1,2,1,4,2
170,1,1,2,2,6,1,1,3,1,1,3,1,1,2,2,4,1
171,1,1,3,4,7,1,1,4,1,1,1,1,1,2,1,5,2
172,1,1,3,4,5,1,1,3,3,2,1,1,1,2,1,5,2
173,1,1,2,2,7,1,1,3,2,1,2,1,1,2,1,5,2
174,1,1,2,2,6,3,3,5,1,1,1,1,1,2,1,4,1
175,1,1,3,4,4,1,1,5,1,1,1,1,1,2,2,4,2
176,1,1,2,2,2,1,1,3,3,1,3,1,1,2,2,2,2
177,1,1,2,2,5,1,1,3,3,1,1,1,1,2,1,1,2
178,1,1,4,1,4,1,1,3,3,1,3,1,1,2,2,2,1
179,1,1,2,2,3,1,1,3,2,1,1,1,1,2,2,4,1
180,1,1,2,2,3,1,1,3,1,1,2,1,1,2,1,4,8
181,1,1,1,1,3,1,1,3,1,1,3,1,1,2,2,1,2
182,1,1,2,2,5,1,1,2,3,3,3,3,1,2,1,1,2
183,1,1,2,2,3,1,1,3,1,2,3,1,1,2,2,3,2
184,1,1,5,2,4,1,1,2,1,1,1,1,1,1,2,3,1
185,1,1,3,4,4,1,1,4,3,1,2,1,2,2,2,5,2
186,1,1,3,4,5,1,1,3,3,1,3,1,1,2,2,4,8
187,1,1,1,1,6,1,1,3,1,1,1,1,1,2,1,5,1
188,1,1,1,1,4,1,1,3,1,1,1,1,1,2,2,5,2
189,1,1,3,4,3,1,1,3,1,1,2,1,1,2,2,5,2
190,1,1,3,4,4,1,1,3,3,1,3,1,1,2,1,3,2
191,1,1,1,1,4,1,1,5,3,1,1,1,1,2,2,5,2
192,1,1,2,2,4,1,1,1,3,1,2,1,1,2,2,3,
193,1,1,1,1,5,1,1,3,2,1,1,1,1,2,2,3,2
194,1,1,3,4,7,2,3,1,3,3,2,2,1,2,1,3,
195,1,1,2,2,5,1,1,3,1,1,1,1,1,2,2,5,1
196,1,1,2,2,3,1,1,3,1,1,3,1,1,2,2,2,1
197,1,1,2,2,5,1,1,3,2,1,2,1,1,2,2,5,2
198,1,1,1,1,5,1,1,3,3,1,3,1,1,2,2,3,2
199,1,1,1,1,7,1,1,2,3,2,1,1,1,2,2,4,2
200,1,1,3,4,3,1,1,3,2,1,1,1,1,2,2,4,2
201,1,1,3,4,5,1,1,3,2,1,3,1,1,2,2,4,1
202,1,1,1,1,5,1,1,3,1,1,1,1,1,2,1,4,2
203,1,1,1,1,2,1,1,3,1,1,3,1,2,2,2,4,2
204,1,1,1,1,7,1,2,3,3,1,3,1,1,2,2,4,2
205,1,1,4,2,7,3,3,1,3,3,3,3,1,2,1,1,8
206,1,1,3,4,3,1,1,3,2,1,3,1,1,2,2,4,8
207,1,1,3,5,3,1,1,4,1,1,1,1,1,2,2,5,2
208,1,1,3,4,6,1,1,5,3,1,2,1,1,2,2,5,2
209,1,1,3,4,7,1,1,3,1,1,2,1,1,2,2,5,2
210,1,1,3,4,2,1,1,3,1,1,2,1,1,2,2,5,2
211,1,1,1,1,3,1,1,6,1,1,2,1,1,2,1,5,2
212,1,1,1,1,6,3,3,5,1,1,2,1,1,2,1,5,2
213,1,1,3,4,7,1,1,5,2,1,2,1,1,2,2,5,2
214,1,1,3,4,6,1,1,3,3,1,2,1,1,2,2,4,1
215,1,1,3,4,6,1,1,3,3,1,1,1,1,2,2,5,8
